0	10	0
1	10	0
2	10	0
3	10	0
4	10	0
5   10  1
6	10	1
7	10	1
8	10	1
9	10	1
10	10	1
0	9	0
1	9	0
2	9	0
2.5	9	0
4	9	1
5	9	1
6	9	1
7	9	1
8	9	1
9	9	1
10	9	1
0	8	0
1	8	0
2	8	0
3	8	1
4	8	1
5	8	1
6	8	1
7	8	0
8	8	0
9	8	1
10	8	1
0	7	0
1	7	0
2	7	0
3	7	1
4	7	1
5	7	1
6	7	1
7	7	0
8	7	0
9	7	1
10	7	1
0	6	0
1	6	0
2	6	0
2.5	6	0
4	6	1
5	6	1
6	6	1
7	6	1
8	6	1
9	6	1
10	6	1
0	5	0
1	5	0
2	5	0
3	5	0
4	5	0
6	5	1
7	5	1
8	5	1
9	5	1
10	5	1
0	4	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
6	4	0
7.5	4	1
8	4	1
9	4	1
10	4	1
0	3	0
1	3	0
2	3	1
3	3	1
4	3	0
5	3	0
6	3	0
7	3	0
8	3	1
9	3	1
10	3	1
0	2	0
1	2	0
2	2	1
3	2	1
4	2	0
5	2	0
6	2	0
7	2	0
8	2	1
9	2	1
10	2	1
0	1	0
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
6	1	0
7.5	1	1
8	1	1
9	1	1
10	1	1
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5   0   0
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
